Date,Adj Close,Volume
2017-05-18,7436.399902,981827100
2017-05-19,7470.700195,820231400
2017-05-22,7496.299805,672758000
2017-05-23,7485.299805,678940100
2017-05-24,7514.899902,823078300
2017-05-25,7517.700195,620554600
2017-05-26,7547.600098,773534000
2017-05-30,7526.500000,737736400
2017-05-31,7520.000000,1864745500
2017-06-01,7543.799805,859764100
2017-06-02,7547.600098,799553200
2017-06-05,7525.799805,606693000
2017-06-06,7525.000000,842102100
2017-06-07,7478.600098,874514700
2017-06-08,7450.000000,867765500
2017-06-09,7527.299805,1079740000
2017-06-12,7511.899902,691742100
2017-06-13,7500.399902,759155200
2017-06-14,7474.399902,943048700
2017-06-15,7419.399902,985057200
2017-06-16,7463.500000,1889237700
2017-06-19,7523.799805,551165300
2017-06-20,7472.700195,1005340300
2017-06-21,7447.799805,843652400
2017-06-22,7439.299805,789287000
2017-06-23,7424.100098,608960600
2017-06-26,7446.799805,702710000
2017-06-27,7434.399902,704817400
2017-06-28,7387.799805,833666400
2017-06-29,7350.299805,930392000
2017-06-30,null,null
2017-07-03,7377.100098,704804300
2017-07-04,7357.200195,597565700
