Date,Adj Close
2017-05-17,1.297017
2017-05-18,1.2958399999999999
2017-05-21,1.3012190000000001
2017-05-22,1.299528
2017-05-23,1.295656
2017-05-24,1.298027
2017-05-25,1.293326
2017-05-28,1.281427
2017-05-29,1.281411
2017-05-30,1.280902
2017-05-31,1.287548
2017-06-01,1.288826
2017-06-04,1.287001
2017-06-05,1.2907389999999999
2017-06-06,1.290672
2017-06-07,1.29621
2017-06-08,1.272297
2017-06-11,1.273918
2017-06-12,1.2669780000000002
2017-06-13,1.2750549999999998
2017-06-14,1.2754450000000002
2017-06-15,1.275836
2017-06-18,1.277955
2017-06-19,1.2732370000000002
2017-06-20,1.263248
2017-06-21,1.267572
2017-06-22,1.2678129999999999
2017-06-25,1.27434
2017-06-26,1.272459
2017-06-27,1.281296
2017-06-28,1.294147
2017-06-29,1.301118
2017-07-02,1.301643
2017-07-03,1.294867
2017-07-04,1.2934940000000001
2017-07-05,1.293176
